tree_depth	nrounds	eta	gamma	subsample	rate_drop	skip_drop	iter	train_rmse_mean	train_rmse_std	test_rmse_mean	test_rmse_std	best_iter
2	1329	0.06675487795836343	8.052718448505154	0.37555681166704746	0.4680733594577759	0.16499860305339098	438	0.12210737466191009	8.521837604194553e-4	0.12428468150337736	0.00617148312137347	438
15	1396	0.00284343900013801	3.7988187575453894e-6	0.6120055419392884	0.08979506441392004	0.36299705668352544	1396	0.11449792266906383	0.00339298610075792	0.1296360723090294	0.0036230248154413	1396
1	746	0.00951007109361841	3.634470258051429e-4	0.2112318830098957	0.09056235197931528	0.5954613254871219	746	0.1297045543073592	0.00163951524885275	0.13092097016835277	0.00419287124682824	746
1	1044	0.03619517764556652	2.2987197078223477e-5	0.9175507072592154	0.8538183246273547	0.08990021981298923	1031	0.13802453422537098	0.00259711499542004	0.13916579335762133	0.00535551164196559	1031
8	1059	0.00115652232675801	0.01757985028943343	0.6306344967102632	0.2596381073817611	0.8776896605268121	1059	0.15642006507449532	0.00126024756278606	0.16480766979626804	0.00400902182447294	1059
3	1403	0.00621188197999767	2.3358704564162806e-10	0.112306207139045	0.47803078102879226	0.11852055182680488	1403	0.16847445678232226	0.00581380898098818	0.16996013101366295	0.00464414051975485	1403
5	1888	0.01709386677937752	1.5000291998409258e-6	0.19622864765115083	0.9149341771844774	0.02175517636351287	1888	0.18536082425009587	0.0120916092951868	0.1876073862195866	0.0124807995252644	1888
5	288	0.00609881417587079	29.99930954484561	0.10460033148992808	0.21213805628940463	0.640986857470125	288	0.21094683474770576	0.00294662084587808	0.2109240877514916	0.00437978637302639	288
11	1064	0.00103355251256338	7.459478974810741e-6	0.2841238711727783	0.8512732430826873	0.4149159723892808	1064	0.25368127077721353	0.00418323865415346	0.25519888472622076	0.00367127542881289	1064
5	928	6.155254839878083e-4	0.00385241271747385	0.8825212922180071	0.96274884021841	0.67808847874403	928	0.26761125814795766	0.00175002336095412	0.2692755314104261	0.0039106804725226	928
2	1884	1.8569998214582915e-4	0.7138105135622445	0.6978439652360976	0.26877279789187014	0.9968130039051176	1884	0.2818772663740439	4.687891782076721e-4	0.2821318319626274	0.00232473315312894	1884
9	255	8.226403356710501e-4	0.00243016997061556	0.8097397957695648	0.01105288229882717	0.8735984307713807	255	0.3115992207446797	9.081916061661152e-4	0.3128395412068386	0.00198035821191895	255
10	575	0.00304220396550151	1.0514543301617208e-8	0.4560817786958069	0.5285725037101656	0.08984154276549816	575	0.31654685125691173	0.0066025947084803	0.31722417257815244	0.00408164997487386	575
1	1950	3.916299586116991e-4	0.02666528497321974	0.654737765272148	0.10256292461417615	0.24433407094329596	1950	0.3183979666110983	0.00157123443835129	0.3184838304904409	0.00332299204137726	1950
12	941	8.836874992759507e-4	4.8299587240766695e-5	0.13555157240480187	0.2490028364118189	0.1548358676955104	941	0.3309350478785276	0.00261836180952186	0.33114737553191437	0.00269845620447727	941
13	1273	2.666370211250644e-4	17.906166840313908	0.4898211465450004	0.4139023304451257	0.38923917687498033	1273	0.3352377673563526	0.0013130231558256	0.33527504998162144	0.00300903935168929	1273
8	1202	8.409416506236182e-5	1.9408725341066135e-10	0.9992847562767564	0.7679877816699445	0.9666825085878372	1202	0.3421442961698158	6.312949459411353e-4	0.34285234253223806	0.00250325092032043	1202
14	1706	0.00154256385613303	1.405609123313192e-9	0.6667667627567425	0.16473414516076446	0.00242678541690111	1706	0.349322313638156	8.094543327794968e-4	0.3496803945113256	0.00288568672241058	1706
