clusterID,estimated_snowballing_pvalue,max_norm_cell_type_specificity,max_norm_disease_specificity,max_plof,mean_plof,median_plof,num_cell_type_string,num_disease_string,num_of_diseases,num_sig_go_enrichment_terms,std_plof,sum_plof,avg_embeddedness,avg_internal_degree,cluster_size,conductance,cut_ratio,edges_inside,expansion,gene_ratio,hub_dominance,internal_edge_density,newman_girvan_modularity,normalized_cut,significance,surprise,triangle_participation_ratio
paris.cesna.2021:4270,0.12473049759864807,0.0625,0.3125,59,12,6,11,1,14,0,15.564917817536548,192,0.0055359484798138,5.411764705882353,17,0.9961013645224172,0.0387507954249465,46,1382.7058823529412,0.9411764705882352,1,0.3382352941176471,-3.637025241593873e-6,0.9979974402763948,600.4399066621589,118.64941664022018,1
paris.cesna.2021:4271,0.06405048072338104,0.1666666666666666,0.3333333333333333,45,23.166666666666668,23,1,2,5,9,18.680649524753324,139,0.0336350763750486,4.25,8,0.9920449227889564,0.0148496819926592,17,530,0.75,0.8571428571428571,0.6071428571428571,-1.193067340214348e-7,0.9923874666749682,235.3012661821313,53.5778954209813,0.875
paris.cesna.2021:4274,0.008902342058718204,0.2941176470588235,0.5294117647058824,178,52.88235294117647,34,2,1,17,2,46.07857738817082,899,0.0479191628430609,15.090909090909092,22,0.9842944320923412,0.0265093120854535,166,945.7727272727273,0.7727272727272727,1,0.7186147186147186,-2.837718168788782e-6,0.9859731950988816,2343.562636126806,550.7437014654583,1
paris.cesna.2021:4282,0.08229358494281769,0.1875,0.375,117,17.8125,6,2,1,14,0,28.617520856985497,285,0.0621947459612146,3.789473684210526,19,0.9949766273634272,0.0210364054755723,36,750.578947368421,0.8421052631578947,1,0.2105263157894736,-1.099297085201198e-6,0.9961278258780492,450.006970364722,76.41421713811634,0.8421052631578947
paris.cesna.2021:4283,0.3446581959724426,0.15,0.5,149,30.65,19,2,1,10,251,37.01532399596572,613,0.0189885783850312,8.666666666666666,21,0.993155064124262,0.0352451423980097,91,1257.4761904761904,0.9523809523809524,0.8,0.4333333333333333,-4.617425846346283e-6,0.9952846617571642,1216.2877077667908,256.6931863230233,0.9523809523809524
paris.cesna.2021:4324,0.3026948869228363,0.2222222222222222,0.2222222222222222,60,16.444444444444443,12,4,1,3,23,18.42627954248436,148,0.0077112775801932,4.2,10,0.9946353301826544,0.0218190478859032,21,778.7,0.9,1,0.4666666666666667,-4.003211242619619e-7,0.9952642516030136,282.7491526797672,60.75943292969298,1
paris.cesna.2021:4326,0.1326802372932434,0.2142857142857142,0.7142857142857143,33,14.285714285714286,13,1,1,12,105,9.024995814433902,200,0.0299235181006354,10.933333333333334,15,0.9939286243151192,0.0501588013301946,82,1789.8666666666666,0.9333333333333332,1,0.780952380952381,-4.765510202368544e-6,0.9960937063355032,1170.2747013831672,278.78662079632875,1
paris.cesna.2021:4332,0.061131276190280914,0.2857142857142857,0.2857142857142857,89,31.857142857142858,18,2,1,5,0,33.21359446285297,223,0.064987085135903,3.8181818181818175,11,0.9876941107530032,0.0085870473395691,21,306.45454545454544,0.6363636363636364,0.8,0.3818181818181818,4.736464818949595e-9,0.9879664685971152,277.2686086728901,56.64244417361691,0.6363636363636364
paris.cesna.2021:4336,0.3604469895362854,0.0769230769230769,0.1538461538461538,36,16.153846153846153,14,9,2,7,6,10.326714174461577,210,0.0128240779095352,5.285714285714286,14,0.994267565264544,0.0256910666746732,37,916.7857142857144,0.9285714285714286,1,0.4065934065934066,-1.088381429846364e-6,0.9953037714468884,491.47831660270106,102.0674635979328,0.9285714285714286
paris.cesna.2021:4342,0.30651479959487915,0.1363636363636363,0.1363636363636363,24,8.5,7.5,1,1,5,104,6.815598356151934,187,0.0165727119685039,10.434782608695652,23,0.9849746447129532,0.0191737716745394,120,684.0434782608696,0.9565217391304348,1,0.4743083003952569,-1.6663602793299755e-6,0.9862445346168158,1618.343338907974,349.1065321011479,1
