clusterID	estimated_snowballing_pvalue	rank
paris.cesna.2020:1817	0.17801368236541748	2671
paris.cesna.2020:1818	0.10745956003665924	2403
paris.cesna.2020:1846	0.04638649523258209	1674
paris.cesna.2020:1847	0.027097949758172035	1055
paris.cesna.2020:1848	0.02078535221517086	737
paris.cesna.2020:1873	0.037666089832782745	1456
paris.cesna.2020:1883	0.20662061870098114	2754
paris.cesna.2020:1890	0.01685396581888199	525
paris.cesna.2020:1891	0.07638956606388092	2159
paris.cesna.2020:1907	0.018427418544888496	608
paris.cesna.2020:1908	0.01689116656780243	529
paris.cesna.2020:1945	0.016842994838953018	524
paris.cesna.2020:1946	0.09796252846717834	2346
paris.cesna.2020:1985	0.015122288838028908	420
paris.cesna.2020:1986	0.015355618670582771	437
paris.cesna.2020:2003	0.0971216931939125	2334
paris.cesna.2020:2011	0.03242633119225502	1277
paris.cesna.2020:2012	0.0756186842918396	2149
paris.cesna.2020:2015	0.04364741966128349	1609
paris.cesna.2020:2016	0.009781123138964176	108
paris.cesna.2020:2018	0.0562148354947567	1892
paris.cesna.2020:2025	0.0636255294084549	1989
paris.cesna.2020:2026	0.06329623609781265	1987
paris.cesna.2020:2041	0.010558930225670338	148
paris.cesna.2020:2045	0.04034995287656784	1535
paris.cesna.2020:2047	0.012415766716003418	257
paris.cesna.2020:2048	0.02621600218117237	1013
paris.cesna.2020:2049	0.1410111039876938	2560
paris.cesna.2020:2050	0.01827438734471798	596
paris.cesna.2020:2068	0.022996442392468452	852
paris.cesna.2020:2077	0.029820647090673447	1160
paris.cesna.2020:2081	0.025506343692541122	971
paris.cesna.2020:2082	0.03146814927458763	1240
paris.cesna.2020:2085	0.02609080821275711	1007
paris.cesna.2020:2125	0.023865509778261185	895
paris.cesna.2020:2149	0.022701852023601532	845
paris.cesna.2020:2218	0.11814884841442108	2465
paris.cesna.2020:2231	0.039409905672073364	1515
paris.cesna.2020:2232	0.01754852384328842	557
paris.cesna.2020:2237	0.06986968219280243	2077
paris.cesna.2020:2239	0.054549578577280045	1863
paris.cesna.2020:2243	0.02849331498146057	1107
paris.cesna.2020:2247	0.024834685027599335	941
paris.cesna.2020:2259	0.06471803784370422	2010
paris.cesna.2020:2260	0.030621090903878212	1190
paris.cesna.2020:2293	0.050513699650764465	1766
paris.cesna.2020:2298	0.09701766073703766	2333
paris.cesna.2020:2305	0.06098505109548569	1965
paris.cesna.2020:2308	0.028573552146553993	1110
paris.cesna.2020:2319	0.029059158638119698	1131
paris.cesna.2020:2361	0.023692548274993896	885
